Year,Import_Japan_B,Import_Mexico_B,Chip_PPI,JPY_Rate,US_CPI,Tariff_Japan,Tariff_Mexico
2015,35.786816161,23.839643471,58.1,122.0571875,237.75225,0.025,0.0
2016,39.269533056,24.020860239,57.333333333333336,108.65693227091633,240.00541666666666,0.025,0.0
2017,39.86947069,30.425094606,56.791666666666664,112.09855421686747,245.121,0.025,0.0
2018,40.380738339,34.991785443,55.96666666666667,110.39738955823293,251.0995,0.025,0.0
2019,39.130953406,37.837478933,55.333333333333336,109.01883534136546,255.65258333333335,0.025,0.0
2020,32.273190927,29.579442494,54.75,106.77544,258.85575,0.025,0.0
2021,32.687260863,29.437021391,54.64225,109.84289156626507,270.96791666666667,0.025,0.0
2022,32.82469054,36.374594568,56.85208333333333,131.45892,292.6254166666667,0.025,0.0
2023,40.057174369,44.756998737,57.175916666666666,140.5001204819277,304.70416666666665,0.025,0.0
2024,40.273817559,49.738617899,58.05891666666667,151.45513944223106,313.69783333333334,0.025,0.0
