Year,Sector,hts8,Base_Rate
2015,Soybean,12019000,0.0
2015,Chips,85411000,0.0
2015,Chips,85412100,0.0
2015,Chips,85412900,0.0
2015,Chips,85413000,0.0
2015,Chips,85414020,0.0
2015,Chips,85414060,0.0
2015,Chips,85414070,0.0
2015,Chips,85414080,0.0
2015,Chips,85414095,0.0
2015,Chips,85415000,0.0
2015,Chips,85416000,0.0
2015,Chips,85419000,0.0
2015,Chips,85423100,0.0
2015,Chips,85423200,0.0
2015,Chips,85423300,0.0
2015,Chips,85423900,0.0
2015,Chips,85429000,0.0
2016,Soybean,12019000,0.0
2016,Chips,85411000,0.0
2016,Chips,85412100,0.0
2016,Chips,85412900,0.0
2016,Chips,85413000,0.0
2016,Chips,85414020,0.0
2016,Chips,85414060,0.0
2016,Chips,85414070,0.0
2016,Chips,85414080,0.0
2016,Chips,85414095,0.0
2016,Chips,85415000,0.0
2016,Chips,85416000,0.0
2016,Chips,85419000,0.0
2016,Chips,85423100,0.0
2016,Chips,85423200,0.0
2016,Chips,85423300,0.0
2016,Chips,85423900,0.0
2016,Chips,85429000,0.0
2017,Soybean,12019000,0.0
2017,Auto,87031010,0.025
2017,Auto,87031050,0.025
2017,Auto,87032101,0.025
2017,Auto,87032201,0.025
2017,Auto,87032301,0.025
2017,Auto,87032401,0.025
2017,Auto,87033101,0.025
2017,Auto,87033201,0.025
2017,Auto,87033301,0.025
2017,Auto,87034000,0.025
2017,Auto,87035000,0.025
2017,Auto,87036000,0.025
2017,Auto,87037000,0.025
2017,Auto,87038000,0.025
2017,Auto,87039001,0.025
2017,Chips,85411000,0.0
2017,Chips,85412100,0.0
2017,Chips,85412900,0.0
2017,Chips,85413000,0.0
2017,Chips,85414020,0.0
2017,Chips,85414060,0.0
2017,Chips,85414070,0.0
2017,Chips,85414080,0.0
2017,Chips,85414095,0.0
2017,Chips,85415000,0.0
2017,Chips,85416000,0.0
2017,Chips,85419000,0.0
2017,Chips,85423100,0.0
2017,Chips,85423200,0.0
2017,Chips,85423300,0.0
2017,Chips,85423900,0.0
2017,Chips,85429000,0.0
2018,Soybean,12019000,0.0
2018,Auto,87031010,0.025
2018,Auto,87031050,0.025
2018,Auto,87031050,0.025
2018,Auto,87032101,0.025
2018,Auto,87032201,0.025
2018,Auto,87032301,0.025
2018,Auto,87032401,0.025
2018,Auto,87033101,0.025
2018,Auto,87033201,0.025
2018,Auto,87033301,0.025
2018,Auto,87034000,0.025
2018,Auto,87035000,0.025
2018,Auto,87036000,0.025
2018,Auto,87037000,0.025
2018,Auto,87038000,0.025
2018,Auto,87039001,0.025
2018,Chips,85411000,0.0
2018,Chips,85412100,0.0
2018,Chips,85412900,0.0
2018,Chips,85413000,0.0
2018,Chips,85414020,0.0
2018,Chips,85414060,0.0
2018,Chips,85414070,0.0
2018,Chips,85414080,0.0
2018,Chips,85414095,0.0
2018,Chips,85415000,0.0
2018,Chips,85416000,0.0
2018,Chips,85419000,0.0
2018,Chips,85423100,0.0
2018,Chips,85423200,0.0
2018,Chips,85423300,0.0
2018,Chips,85423900,0.0
2018,Chips,85429000,0.0
2019,Soybean,12019000,0.0
2019,Auto,87031010,0.025
2019,Auto,87031050,0.025
2019,Auto,87031050,0.025
2019,Auto,87032101,0.025
2019,Auto,87032201,0.025
2019,Auto,87032301,0.025
2019,Auto,87032401,0.025
2019,Auto,87033101,0.025
2019,Auto,87033201,0.025
2019,Auto,87033301,0.025
2019,Auto,87034000,0.025
2019,Auto,87035000,0.025
2019,Auto,87036000,0.025
2019,Auto,87037000,0.025
2019,Auto,87038000,0.025
2019,Auto,87039001,0.025
2019,Chips,85411000,0.0
2019,Chips,85412100,0.0
2019,Chips,85412900,0.0
2019,Chips,85413000,0.0
2019,Chips,85414020,0.0
2019,Chips,85414060,0.0
2019,Chips,85414070,0.0
2019,Chips,85414080,0.0
2019,Chips,85414095,0.0
2019,Chips,85415000,0.0
2019,Chips,85416000,0.0
2019,Chips,85419000,0.0
2019,Chips,85423100,0.0
2019,Chips,85423200,0.0
2019,Chips,85423300,0.0
2019,Chips,85423900,0.0
2019,Chips,85429000,0.0
2020,Soybean,12019000,0.0
2020,Auto,87031010,0.025
2020,Auto,87031010,0.025
2020,Auto,87031050,0.025
2020,Auto,87031050,0.025
2020,Auto,87032101,0.025
2020,Auto,87032101,0.025
2020,Auto,87032201,0.025
2020,Auto,87032201,0.025
2020,Auto,87032301,0.025
2020,Auto,87032301,0.025
2020,Auto,87032401,0.025
2020,Auto,87032401,0.025
2020,Auto,87033101,0.025
2020,Auto,87033101,0.025
2020,Auto,87033201,0.025
2020,Auto,87033201,0.025
2020,Auto,87033301,0.025
2020,Auto,87033301,0.025
2020,Auto,87034000,0.025
2020,Auto,87034000,0.025
2020,Auto,87035000,0.025
2020,Auto,87035000,0.025
2020,Auto,87036000,0.025
2020,Auto,87036000,0.025
2020,Auto,87037000,0.025
2020,Auto,87037000,0.025
2020,Auto,87038000,0.025
2020,Auto,87038000,0.025
2020,Auto,87039001,0.025
2020,Auto,87039001,0.025
2020,Chips,85411000,0.0
2020,Chips,85412100,0.0
2020,Chips,85412900,0.0
2020,Chips,85413000,0.0
2020,Chips,85414020,0.0
2020,Chips,85414060,0.0
2020,Chips,85414070,0.0
2020,Chips,85414080,0.0
2020,Chips,85414095,0.0
2020,Chips,85415000,0.0
2020,Chips,85416000,0.0
2020,Chips,85419000,0.0
2020,Chips,85423100,0.0
2020,Chips,85423200,0.0
2020,Chips,85423300,0.0
2020,Chips,85423900,0.0
2020,Chips,85429000,0.0
2021,Soybean,12019000,0.0
2021,Auto,87031010,0.025
2021,Auto,87031050,0.025
2021,Auto,87032101,0.025
2021,Auto,87032201,0.025
2021,Auto,87032301,0.025
2021,Auto,87032401,0.025
2021,Auto,87033101,0.025
2021,Auto,87033201,0.025
2021,Auto,87033301,0.025
2021,Auto,87034000,0.025
2021,Auto,87035000,0.025
2021,Auto,87036000,0.025
2021,Auto,87037000,0.025
2021,Auto,87038000,0.025
2021,Auto,87039001,0.025
2021,Chips,85411000,0.0
2021,Chips,85412100,0.0
2021,Chips,85412900,0.0
2021,Chips,85413000,0.0
2021,Chips,85414020,0.0
2021,Chips,85414060,0.0
2021,Chips,85414070,0.0
2021,Chips,85414080,0.0
2021,Chips,85414095,0.0
2021,Chips,85415000,0.0
2021,Chips,85416000,0.0
2021,Chips,85419000,0.0
2021,Chips,85423100,0.0
2021,Chips,85423200,0.0
2021,Chips,85423300,0.0
2021,Chips,85423900,0.0
2021,Chips,85429000,0.0
2022,Soybean,12019000,0.0
2022,Auto,87031010,0.025
2022,Auto,87031050,0.025
2022,Auto,87032101,0.025
2022,Auto,87032201,0.025
2022,Auto,87032301,0.025
2022,Auto,87032401,0.025
2022,Auto,87033101,0.025
2022,Auto,87033201,0.025
2022,Auto,87033301,0.025
2022,Auto,87034000,0.025
2022,Auto,87035000,0.025
2022,Auto,87036000,0.025
2022,Auto,87037000,0.025
2022,Auto,87038000,0.025
2022,Auto,87039001,0.025
2022,Chips,85411000,0.0
2022,Chips,85412100,0.0
2022,Chips,85412900,0.0
2022,Chips,85413000,0.0
2022,Chips,85414020,0.0
2022,Chips,85414060,0.0
2022,Chips,85414070,0.0
2022,Chips,85414080,0.0
2022,Chips,85414095,0.0
2022,Chips,85414100,0.0
2022,Chips,85414200,0.0
2022,Chips,85414300,0.0
2022,Chips,85414910,0.0
2022,Chips,85414970,0.0
2022,Chips,85414980,0.0
2022,Chips,85414995,0.0
2022,Chips,85415000,0.0
2022,Chips,85415100,0.0
2022,Chips,85415900,0.0
2022,Chips,85416000,0.0
2022,Chips,85419000,0.0
2022,Chips,85423100,0.0
2022,Chips,85423200,0.0
2022,Chips,85423300,0.0
2022,Chips,85423900,0.0
2022,Chips,85429000,0.0
2023,Soybean,12019000,0.0
2023,Auto,87031010,0.025
2023,Auto,87031050,0.025
2023,Auto,87032101,0.025
2023,Auto,87032201,0.025
2023,Auto,87032301,0.025
2023,Auto,87032401,0.025
2023,Auto,87033101,0.025
2023,Auto,87033201,0.025
2023,Auto,87033301,0.025
2023,Auto,87034000,0.025
2023,Auto,87035000,0.025
2023,Auto,87036000,0.025
2023,Auto,87037000,0.025
2023,Auto,87038000,0.025
2023,Auto,87039001,0.025
2024,Soybean,12019000,0.0
2024,Auto,87031010,0.025
2024,Auto,87031050,0.025
2024,Auto,87032101,0.025
2024,Auto,87032201,0.025
2024,Auto,87032301,0.025
2024,Auto,87032401,0.025
2024,Auto,87033101,0.025
2024,Auto,87033201,0.025
2024,Auto,87033301,0.025
2024,Auto,87034000,0.025
2024,Auto,87035000,0.025
2024,Auto,87036000,0.025
2024,Auto,87037000,0.025
2024,Auto,87038000,0.025
2024,Auto,87039001,0.025
2025,Soybean,12019000,0.0
2025,Auto,87031010,0.025
2025,Auto,87031050,0.025
2025,Auto,87032101,0.025
2025,Auto,87032201,0.025
2025,Auto,87032301,0.025
2025,Auto,87032401,0.025
2025,Auto,87033101,0.025
2025,Auto,87033201,0.025
2025,Auto,87033301,0.025
2025,Auto,87034000,0.025
2025,Auto,87035000,0.025
2025,Auto,87036000,0.025
2025,Auto,87037000,0.025
2025,Auto,87038000,0.025
2025,Auto,87039001,0.025
